Image Path,Caption
train_cleaned\Ao\0_0_1638449276_jpg.jpg,purple and green shirt with a white collar and green sleeves
train_cleaned\Ao\100_0_1638449374_jpg.jpg,purple square with a black sweater and a blue tag on it
train_cleaned\Ao\101_0_1638449375_jpg.jpg,a close up of a blue jacket with a red tie on a pink background
train_cleaned\Ao\102_0_1638449376_jpg.jpg,a close up of a red shirt with a gold medal around it
train_cleaned\Ao\103_0_1638449377_jpg.jpg,a close up of a black and yellow pirate hat with a skull on it
train_cleaned\Ao\104_0_1638449377_jpg.jpg,a close up of a knitted shirt with a cross on it
train_cleaned\Ao\105_0_1638449378_jpg.jpg,a close up of a fireman's jacket with gloves on
train_cleaned\Ao\106_0_1638449379_jpg.jpg,a close up of a green shirt with a crescent on it
train_cleaned\Ao\107_0_1638449380_jpg.jpg,a close up of a fireman's sweater with gloves on
train_cleaned\Ao\108_0_1638449380_jpg.jpg,a close up of a blue glove with a pink letter on it
train_cleaned\Ao\109_0_1638449381_jpg.jpg,arafed image of a pair of gloves with a pink and blue background
train_cleaned\Ao\10_0_1638449287_jpg.jpg,a close up of a green square with a yellow shirt on it
train_cleaned\Ao\110_0_1638449382_jpg.jpg,a close up of a sweater with the word fff on it
train_cleaned\Ao\111_0_1638449383_jpg.jpg,a close up of a sweater with the word fff on it
train_cleaned\Ao\112_0_1638449383_jpg.jpg,an orange jacket with a black collar and a black zipper
train_cleaned\Ao\113_0_1638449384_jpg.jpg,a close up of a red jersey with a black number 23 on it
train_cleaned\Ao\114_0_1638449385_jpg.jpg,a close up of a red jersey with a black number 23 on it
train_cleaned\Ao\115_0_1638449385_jpg.jpg,a close up of a person holding a cell phone in their hand
train_cleaned\Ao\116_0_1638449386_jpg.jpg,a close up of a bag on a blue background
train_cleaned\Ao\117_0_1638449387_jpg.jpg,a close up of a robot with a yellow belt and a red tie
train_cleaned\Ao\118_0_1638449388_jpg.jpg,a close up of a sweater with a teddy bear on it
train_cleaned\Ao\119_0_1638449388_jpg.jpg,a close up of a sweater with a name tag on it
train_cleaned\Ao\11_0_1638449288_jpg.jpg,a close up of a sweater with a name tag on it
train_cleaned\Ao\120_0_1638449389_jpg.jpg,a close up of a t - shirt with a ghost face on it
train_cleaned\Ao\121_0_1638449390_jpg.jpg,a close up of a shirt with a blue and red shirt
train_cleaned\Ao\122_0_1638449391_jpg.jpg,a close up of a white shirt with a tie on a blue background
train_cleaned\Ao\123_0_1638449391_jpg.jpg,a close up of a blue vase with a pink letter on it
